taxonKey,species,englishName,imageSrc,imageUrl,imageBy,license,numberOfOccurrences,categories
2481174,Larus fuscus,Lesser Black-backed Gull,https://inaturalist-open-data.s3.amazonaws.com/photos/111114484/large.jpeg,https://www.inaturalist.org/observations/68596025,Andrew Bazdyrev,cc-by,3677126,"birds, marine, terrestrial"
2481139,Larus argentatus,European Herring Gull,https://inaturalist-open-data.s3.amazonaws.com/photos/636514055/large.jpg,https://www.inaturalist.org/observations/348963009,Jason Thompson,cc0,2076315,"birds, marine, terrestrial"
8084280,Gadus morhua,Atlantic Cod,https://inaturalist-open-data.s3.amazonaws.com/photos/541436632/large.jpg,https://www.inaturalist.org/observations/300496831,Kim Nesbitt,cc-by-nc,1728651,"fish, marine"
7788295,Haematopus ostralegus,Eurasian Oystercatcher,https://inaturalist-open-data.s3.amazonaws.com/photos/1039273/large.jpg,https://www.inaturalist.org/observations/823427,Brian Gratwicke,cc-by,1038140,"birds, marine, terrestrial"
8215487,Salmo trutta,Brown Trout,https://inaturalist-open-data.s3.amazonaws.com/photos/153521117/large.jpg,https://www.inaturalist.org/observations/92696622,Olly Morgan,cc0,931959,"fish, freshwater, marine"
2333785,Myoxocephalus scorpius,Shorthorn Sculpin,https://inaturalist-open-data.s3.amazonaws.com/photos/398763231/large.jpeg,https://www.inaturalist.org/observations/224955938,Kian Hayles-Cotton,cc0,775533,"fish, marine"
2226639,Chionoecetes opilio,Snow Crab,https://inaturalist-open-data.s3.amazonaws.com/photos/31353551/large.jpg,https://www.inaturalist.org/observations/20307202,Georgy Vinogradov,cc-by,691379,"invertebrates, marine"
2474950,Grus grus,Common Crane,https://inaturalist-open-data.s3.amazonaws.com/photos/227565252/large.jpg,https://www.inaturalist.org/observations/133585813,Vsevolod Rudyi,cc-by,358712,"birds, terrestrial"
5972004,Homarus americanus,American Lobster,https://inaturalist-open-data.s3.amazonaws.com/photos/31318271/large.jpg,https://www.inaturalist.org/observations/20286880,Bob Semple,cc-by-nc,348434,"invertebrates, marine"
5212973,Anguilla anguilla,European Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/316049128/large.jpeg,https://www.inaturalist.org/observations/181365760,Nicola Crockford,cc-by,330949,"fish, marine, freshwater"
2333802,Myoxocephalus octodecemspinosus,Longhorn Sculpin,https://inaturalist-open-data.s3.amazonaws.com/photos/374555081/large.jpeg,https://www.inaturalist.org/observations/211920189,Lara Gibson,cc0,325330,"fish, marine"
4284021,Salvelinus alpinus,Arctic Char,https://inaturalist-open-data.s3.amazonaws.com/photos/256781750/large.jpeg,https://www.inaturalist.org/observations/149052430,Игорь Загребин,cc0,320271,fish
2402120,Acipenser fulvescens,Lake Sturgeon,https://inaturalist-open-data.s3.amazonaws.com/photos/522174507/large.jpg,https://www.inaturalist.org/observations/290276856,Below Blue Water Diver,cc-by-nc,291762,fish
7595433,Salmo salar,Atlantic Salmon,https://inaturalist-open-data.s3.amazonaws.com/photos/555838239/large.jpg,https://www.inaturalist.org/observations/308109504,v_moss,cc-by-nc,276059,"fish, marine, freshwater"
2480482,Circus aeruginosus,Western Marsh Harrier,https://inaturalist-open-data.s3.amazonaws.com/photos/121481252/large.jpg,https://www.inaturalist.org/observations/74337384,Artem Kuznetsov,cc-by,261473,"birds, terrestrial"
2394612,Morone saxatilis,Striped Bass,https://inaturalist-open-data.s3.amazonaws.com/photos/170972334/large.jpg,https://www.inaturalist.org/observations/102298548,Christian Back,cc0,225383,fish
8151548,Ichthyaetus melanocephalus,Mediterranean Gull,https://inaturalist-open-data.s3.amazonaws.com/photos/76875465/large.png,https://www.inaturalist.org/observations/48448425,Paolo Zucca,cc-by,205983,"birds, marine, terrestrial"
2402122,Acipenser transmontanus,White Sturgeon,https://inaturalist-open-data.s3.amazonaws.com/photos/627931068/large.jpg,https://www.inaturalist.org/observations/344614581,mlyons7,cc-by-nc,202817,fish
2480509,Aquila clanga,Greater Spotted Eagle,https://inaturalist-open-data.s3.amazonaws.com/photos/460444126/large.jpg,https://www.inaturalist.org/observations/256765220,cog2022,cc-by-nc,141656,"birds, terrestrial"
2481909,Ciconia nigra,Black Stork,https://inaturalist-open-data.s3.amazonaws.com/photos/627006478/large.jpg,https://www.inaturalist.org/observations/344140448,Darren Obbard,cc-by,108179,"birds, terrestrial"
5202525,Ictalurus furcatus,Blue Catfish,https://inaturalist-open-data.s3.amazonaws.com/photos/417341337/large.jpeg,https://www.inaturalist.org/observations/234718340,gwen2012,cc-by-nc,106865,fish
2480449,Haliaeetus albicilla,White-tailed Eagle,https://inaturalist-open-data.s3.amazonaws.com/photos/512049225/large.jpg,https://www.inaturalist.org/observations/284898437,Wolfgang Bettighofer,cc-by-nc,98231,"birds, marine, terrestrial"
2480801,Platalea leucorodia,Eurasian Spoonbill,https://inaturalist-open-data.s3.amazonaws.com/photos/510417211/large.jpg,https://www.inaturalist.org/observations/284036721,Meike Pa,cc-by-nc,94975,"birds, terrestrial"
5204024,Oncorhynchus tshawytscha,Chinook Salmon,https://inaturalist-open-data.s3.amazonaws.com/photos/330188705/large.jpeg,https://www.inaturalist.org/observations/188623212,sfreeman7,cc-by-nc,93425,"fish, freshwater"
2480495,Circus pygargus,Montagu's Harrier,https://inaturalist-open-data.s3.amazonaws.com/photos/658135904/large.jpg,https://www.inaturalist.org/observations/360668298,Roman Gunchin,cc-by-nc,86257,"birds, terrestrial"
2480505,Aquila pomarina,Lesser Spotted Eagle,https://inaturalist-open-data.s3.amazonaws.com/photos/300371533/large.jpeg,https://www.inaturalist.org/observations/172988389,zametnya,cc-by-nc,79449,"birds, terrestrial"
5204039,Oncorhynchus nerka,Sockeye Salmon,https://inaturalist-open-data.s3.amazonaws.com/photos/580724257/large.jpg,https://www.inaturalist.org/observations/321133215,Spencer Hurt,cc-by,64175,"fish, freshwater"
2480726,Pandion haliaetus,Osprey,https://inaturalist-open-data.s3.amazonaws.com/photos/185494513/large.jpeg,https://www.inaturalist.org/observations/110002552,Leonardo Hernández Escudero,cc-by-nc,64146,"birds, marine, terrestrial"
2481792,Numenius arquata,Eurasian Curlew,https://inaturalist-open-data.s3.amazonaws.com/photos/149829117/large.jpg,https://www.inaturalist.org/observations/90641853,alexey_nesmelov,cc-by-nc,62960,"birds, marine, terrestrial"
5216368,Squalus acanthias,Spiny Dogfish,https://inaturalist-open-data.s3.amazonaws.com/photos/227069143/large.jpeg,https://www.inaturalist.org/observations/133317082,whale_nerd,cc-by-nc,58976,"fish, sharks & rays, marine"
2480537,Buteo buteo,Common Buzzard,https://inaturalist-open-data.s3.amazonaws.com/photos/334076359/large.jpg,https://www.inaturalist.org/observations/190551903,Davide Diana,cc-by-nc,54590,"birds, terrestrial"
2409218,Hippoglossus hippoglossus,Atlantic Halibut,https://inaturalist-open-data.s3.amazonaws.com/photos/196509256/large.jpg,https://www.inaturalist.org/observations/116414403,Vsevolod Rudyi,cc-by,52274,"fish, marine"
5204034,Oncorhynchus kisutch,Coho Salmon,https://inaturalist-open-data.s3.amazonaws.com/photos/447621235/large.jpeg,https://www.inaturalist.org/observations/250300222,KDyke,cc-by-nc,48496,"fish, marine"
2480487,Circus cyaneus,Hen Harrier,https://inaturalist-open-data.s3.amazonaws.com/photos/434827233/large.jpg,https://www.inaturalist.org/observations/243825095,Vladimir Bryukhov,cc-by-nc,43011,"birds, terrestrial"
5212956,Anguilla rostrata,American Eel,https://inaturalist-open-data.s3.amazonaws.com/photos/63219231/large.jpeg,https://www.inaturalist.org/observations/39822847,,cc-by-nc,41816,"fish, marine, freshwater"
